Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Diff_Returns,Vol_SMA,RVOL,EMA_10
2025-04-07,12.819698156354251,13.330558043737728,12.381129615044062,13.104044914245605,20141080,0.0,0.0,-0.031139316088577163,0.008355630624538767,7697183.7,2.6166817351650318,13.300282459978135
2025-04-08,13.137780321933835,13.422127069165139,12.896808564567259,13.38357162475586,10361306,0.0,0.0,0.021107002027128202,0.05224631811570536,7851908.55,1.3195907637003745,13.315425944483174
2025-04-09,13.238988098596709,13.54261302947998,13.104044501967973,13.54261302947998,14216172,0.0,0.0,0.011813278140074282,-0.00929372388705392,8225266.05,1.7283540633922716,13.356732687209865
2025-04-10,13.711293858632661,13.981181979276073,13.479960264561113,13.764307022094727,10853513,0.0,0.0,0.01623755906049937,0.0044242809204250895,8465629.2,1.2820680830197477,13.430837111734386
2025-04-11,13.928167059065284,14.077569287676322,13.899250706257988,13.952264785766602,0,0.0,0.0,0.01356305146982967,-0.002674507590669702,8158826.65,0.0,13.525642143376606
2025-04-14,14.077569620637401,14.1305837013999,13.90407058045575,13.986001014709473,7100810,0.0,0.0,0.002415056509305745,-0.011147994960523924,8513867.15,0.8340287527272492,13.609343756346219
2025-04-15,14.043833906444274,14.361916556735162,14.043833906444274,14.347458839416504,4248519,0.0,0.0,0.02551594032965186,0.023100883820346113,8328298.05,0.5101305182035362,13.743546498722633
2025-04-16,14.45830513945295,14.631805095281356,14.376374706893346,14.626985549926758,6402529,0.0,0.0,0.01929530583724107,-0.006220634492410788,8274110.95,0.773802652477122,13.904171780759746
2025-04-17,14.573971522364161,14.786026922553194,14.53059653325199,14.713735580444336,5850200,0.0,0.0,0.005913302738225601,-0.01338200309901547,8184496.05,0.7147904970886998,14.051365198884216
2025-04-22,14.757110704391197,14.973984732699334,14.70409662405098,14.959527015686035,5001009,0.0,0.0,0.016566904709398072,0.010653601971172471,7834337.95,0.6383448138077832,14.216485529211818
2025-04-23,14.940248637905018,14.959526819315416,14.270347460876506,14.598069190979004,11861789,0.0,0.0,-0.0244590826723482,-0.04102598738174627,8427427.4,1.4075219443599123,14.28586437680585
2025-04-24,14.675180389836072,14.800484894727848,14.545055420255029,14.61734676361084,5768651,0.0,0.0,0.0013196851593397269,0.025778767831687928,8527287.95,0.6764930460686508,14.346133901679485
2025-04-25,14.573972330185457,14.626986412979807,14.414931001036745,14.482402801513672,5407656,0.0,0.0,-0.009274645412763355,-0.010594330572103081,8590645.9,0.6294818879684005,14.370910065285699
2025-04-28,14.573971411349383,14.602887764125803,14.35709738667481,14.511319160461426,3664539,0.0,0.0,0.001994664125778717,0.011269309538542072,8394012.65,0.4365658181370503,14.396438991681284
2025-04-29,14.453486215875653,14.675180715552878,14.294444889269213,14.622166633605957,4510600,0.0,0.0,0.007609663246687362,0.005614999120908645,8050942.05,0.5602574173291932,14.437480381122132
2025-04-30,14.626985665415889,14.858318328857422,14.602887938452628,14.858318328857422,6447457,0.0,0.0,0.016021225350169876,0.008411562103482513,7870953.35,0.8191456248435268,14.513996371619456
2025-05-02,14.781207466792903,14.911332434918306,14.67999885183949,14.901693344116211,5669273,0.0,0.0,0.0029149885053219114,-0.013106236844847964,7894366.65,0.7181415877105226,14.584486730255229
2025-05-05,14.911332784492155,15.031818664640074,14.853499157558055,14.949888229370117,3166909,0.0,0.0,0.003228969762259847,0.00031398125693793584,7852200.1,0.4033148620346545,14.650923366457935
2025-05-06,15.026999506028483,15.128207206726074,14.906513622778395,15.128207206726074,4512497,0.0,0.0,0.011857204651432054,0.008628234889172207,7527712.65,0.5994512821899491,14.737702246506688
2025-05-07,15.123386760367364,15.214956283569336,14.988443167474228,15.214956283569336,4438443,0.0,0.0,0.005717881935414882,-0.006139322716017172,6981147.6,0.6357755564428977,14.824475707790805
2025-05-08,15.171581504334656,15.195679231423123,14.949887930526538,14.988443374633789,4504531,0.0,0.0,-0.014999447630879757,-0.02071732956629464,6199320.15,0.7266169339552498,14.854288010853166
2025-05-09,14.969165192963017,15.046276081177517,14.843859769805878,14.988443374633789,5874381,0.0,0.0,0.0,0.014999447630879757,5974973.9,0.9831642946590946,14.878679895176916
2025-05-12,14.988443685515938,15.026999130422883,14.308903394509557,14.347458839416504,8709057,0.0,0.0,-0.043706620305277784,-0.043706620305277784,5699618.15,1.5280070999142283,14.782094248675023
